 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Uranium in  U-Mo.txt

 Ion = Uranium [92] , Mass = 238.051 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   8.575E+00  1.136E+02      14 A        10 A         8 A   
   1.50 keV   8.876E+00  1.181E+02      14 A        11 A         8 A   
   1.60 keV   9.167E+00  1.225E+02      15 A        11 A         8 A   
   1.70 keV   9.450E+00  1.267E+02      15 A        11 A         8 A   
   1.80 keV   9.724E+00  1.308E+02      15 A        11 A         8 A   
   2.00 keV   1.025E+01  1.386E+02      16 A        12 A         9 A   
   2.25 keV   1.087E+01  1.479E+02      17 A        12 A         9 A   
   2.50 keV   1.146E+01  1.566E+02      18 A        13 A         9 A   
   2.75 keV   1.202E+01  1.649E+02      18 A        13 A        10 A   
   3.00 keV   1.255E+01  1.727E+02      19 A        14 A        10 A   
   3.25 keV   1.307E+01  1.802E+02      20 A        14 A        10 A   
   3.50 keV   1.356E+01  1.874E+02      20 A        15 A        11 A   
   3.75 keV   1.403E+01  1.942E+02      21 A        15 A        11 A   
   4.00 keV   1.450E+01  2.009E+02      21 A        16 A        11 A   
   4.50 keV   1.537E+01  2.134E+02      23 A        16 A        12 A   
   5.00 keV   1.621E+01  2.251E+02      24 A        17 A        12 A   
   5.50 keV   1.700E+01  2.362E+02      25 A        18 A        13 A   
   6.00 keV   1.775E+01  2.467E+02      26 A        18 A        13 A   
   6.50 keV   1.848E+01  2.566E+02      27 A        19 A        14 A   
   7.00 keV   1.918E+01  2.660E+02      28 A        20 A        14 A   
   8.00 keV   2.050E+01  2.837E+02      29 A        21 A        15 A   
   9.00 keV   2.174E+01  3.000E+02      31 A        22 A        16 A   
  10.00 keV   2.292E+01  3.152E+02      33 A        23 A        16 A   
  11.00 keV   2.404E+01  3.293E+02      34 A        24 A        17 A   
  12.00 keV   2.511E+01  3.426E+02      36 A        25 A        18 A   
  13.00 keV   2.613E+01  3.552E+02      37 A        25 A        18 A   
  14.00 keV   2.712E+01  3.671E+02      39 A        26 A        19 A   
  15.00 keV   2.807E+01  3.784E+02      40 A        27 A        19 A   
  16.00 keV   2.899E+01  3.891E+02      42 A        28 A        20 A   
  17.00 keV   2.988E+01  3.994E+02      43 A        29 A        20 A   
  18.00 keV   3.075E+01  4.093E+02      44 A        29 A        21 A   
  20.00 keV   3.241E+01  4.278E+02      47 A        31 A        22 A   
  22.50 keV   3.438E+01  4.490E+02      50 A        33 A        23 A   
  25.00 keV   3.624E+01  4.685E+02      53 A        34 A        24 A   
  27.50 keV   3.801E+01  4.865E+02      55 A        36 A        26 A   
  30.00 keV   3.970E+01  5.032E+02      58 A        37 A        27 A   
  32.50 keV   4.132E+01  5.188E+02      61 A        39 A        28 A   
  35.00 keV   4.288E+01  5.334E+02      63 A        40 A        29 A   
  37.50 keV   4.438E+01  5.472E+02      66 A        42 A        30 A   
  40.00 keV   4.584E+01  5.602E+02      68 A        43 A        31 A   
  45.00 keV   4.862E+01  5.842E+02      73 A        45 A        33 A   
  50.00 keV   5.125E+01  6.059E+02      78 A        48 A        34 A   
  55.00 keV   5.375E+01  6.257E+02      82 A        50 A        36 A   
  60.00 keV   5.614E+01  6.439E+02      86 A        53 A        38 A   
  65.00 keV   5.843E+01  6.607E+02      91 A        55 A        39 A   
  70.00 keV   6.064E+01  6.763E+02      95 A        57 A        41 A   
  80.00 keV   6.482E+01  7.044E+02     103 A        61 A        44 A   
  90.00 keV   6.876E+01  7.292E+02     111 A        65 A        47 A   
 100.00 keV   7.248E+01  7.513E+02     119 A        69 A        50 A   
 110.00 keV   7.601E+01  7.711E+02     126 A        73 A        53 A   
 120.00 keV   7.939E+01  7.890E+02     134 A        76 A        55 A   
 130.00 keV   8.263E+01  8.053E+02     141 A        80 A        58 A   
 140.00 keV   8.575E+01  8.202E+02     148 A        83 A        60 A   
 150.00 keV   8.876E+01  8.339E+02     155 A        87 A        63 A   
 160.00 keV   9.167E+01  8.465E+02     162 A        90 A        65 A   
 170.00 keV   9.450E+01  8.582E+02     169 A        93 A        68 A   
 180.00 keV   9.724E+01  8.691E+02     175 A        96 A        70 A   
 200.00 keV   1.025E+02  8.887E+02     189 A       103 A        75 A   
 225.00 keV   1.087E+02  9.097E+02     205 A       110 A        80 A   
 250.00 keV   1.146E+02  9.278E+02     221 A       118 A        86 A   
 275.00 keV   1.202E+02  9.433E+02     237 A       125 A        91 A   
 300.00 keV   1.255E+02  9.568E+02     253 A       132 A        96 A   
 325.00 keV   1.307E+02  9.686E+02     268 A       139 A       101 A   
 350.00 keV   1.356E+02  9.790E+02     283 A       146 A       106 A   
 375.00 keV   1.403E+02  9.881E+02     298 A       153 A       111 A   
 400.00 keV   1.449E+02  9.962E+02     313 A       159 A       116 A   
 450.00 keV   1.537E+02  1.010E+03     343 A       173 A       126 A   
 500.00 keV   1.579E+02  1.020E+03     373 A       186 A       135 A   
 550.00 keV   1.607E+02  1.029E+03     402 A       198 A       144 A   
 600.00 keV   1.662E+02  1.035E+03     431 A       211 A       153 A   
 650.00 keV   1.729E+02  1.040E+03     461 A       224 A       162 A   
 700.00 keV   1.801E+02  1.044E+03     490 A       236 A       170 A   
 800.00 keV   1.944E+02  1.048E+03     547 A       260 A       187 A   
 900.00 keV   2.074E+02  1.049E+03     605 A       284 A       204 A   
   1.00 MeV   2.187E+02  1.049E+03     662 A       307 A       221 A   
   1.10 MeV   2.283E+02  1.046E+03     719 A       331 A       237 A   
   1.20 MeV   2.367E+02  1.043E+03     777 A       354 A       253 A   
   1.30 MeV   2.440E+02  1.038E+03     834 A       377 A       269 A   
   1.40 MeV   2.505E+02  1.033E+03     892 A       399 A       284 A   
   1.50 MeV   2.564E+02  1.027E+03     950 A       422 A       300 A   
   1.60 MeV   2.618E+02  1.021E+03    1008 A       445 A       315 A   
   1.70 MeV   2.670E+02  1.014E+03    1067 A       468 A       331 A   
   1.80 MeV   2.720E+02  1.007E+03    1125 A       490 A       346 A   
   2.00 MeV   2.816E+02  9.934E+02    1244 A       535 A       376 A   
   2.25 MeV   2.936E+02  9.754E+02    1394 A       591 A       414 A   
   2.50 MeV   3.058E+02  9.574E+02    1546 A       647 A       452 A   
   2.75 MeV   3.185E+02  9.396E+02    1700 A       702 A       490 A   
   3.00 MeV   3.317E+02  9.221E+02    1855 A       757 A       528 A   
   3.25 MeV   3.452E+02  9.051E+02    2011 A       811 A       566 A   
   3.50 MeV   3.590E+02  8.887E+02    2169 A       865 A       604 A   
   3.75 MeV   3.729E+02  8.727E+02    2327 A       918 A       642 A   
   4.00 MeV   3.870E+02  8.573E+02    2486 A       970 A       680 A   
   4.50 MeV   4.152E+02  8.282E+02    2807 A      1074 A       757 A   
   5.00 MeV   4.429E+02  8.010E+02    3130 A      1174 A       834 A   
   5.50 MeV   4.699E+02  7.758E+02    3455 A      1273 A       911 A   
   6.00 MeV   4.959E+02  7.523E+02    3781 A      1369 A       987 A   
   6.50 MeV   5.209E+02  7.304E+02    4109 A      1462 A      1063 A   
   7.00 MeV   5.446E+02  7.099E+02    4437 A      1554 A      1139 A   
   8.00 MeV   5.886E+02  6.727E+02    5095 A      1731 A      1289 A   
   9.00 MeV   6.282E+02  6.397E+02    5756 A      1901 A      1437 A   
  10.00 MeV   6.638E+02  6.104E+02    6418 A      2064 A      1582 A   
  11.00 MeV   6.959E+02  5.841E+02    7082 A      2221 A      1725 A   
  12.00 MeV   7.253E+02  5.603E+02    7747 A      2372 A      1866 A   
  13.00 MeV   7.524E+02  5.387E+02    8414 A      2519 A      2005 A   
  14.00 MeV   7.778E+02  5.190E+02    9080 A      2661 A      2141 A   
  15.00 MeV   8.018E+02  5.009E+02    9747 A      2799 A      2275 A   
  16.00 MeV   8.249E+02  4.842E+02    1.04 um     2932 A      2408 A   
  17.00 MeV   8.474E+02  4.688E+02    1.11 um     3061 A      2538 A   
  18.00 MeV   8.696E+02  4.545E+02    1.17 um     3187 A      2666 A   
  20.00 MeV   9.140E+02  4.288E+02    1.31 um     3429 A      2917 A   
  22.50 MeV   9.712E+02  4.010E+02    1.47 um     3710 A      3219 A   
  25.00 MeV   1.032E+03  3.771E+02    1.63 um     3970 A      3509 A   
  27.50 MeV   1.097E+03  3.563E+02    1.79 um     4208 A      3785 A   
  30.00 MeV   1.166E+03  3.380E+02    1.94 um     4426 A      4047 A   
