 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Xenon in  U-Mo.txt

 Ion = Xenon [54] , Mass = 131.904 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   4.897E+00  8.378E+01      13 A        12 A         9 A   
   1.50 keV   5.069E+00  8.687E+01      14 A        13 A        10 A   
   1.60 keV   5.235E+00  8.983E+01      14 A        13 A        10 A   
   1.70 keV   5.396E+00  9.270E+01      14 A        13 A        10 A   
   1.80 keV   5.553E+00  9.546E+01      15 A        14 A        10 A   
   2.00 keV   5.853E+00  1.007E+02      15 A        14 A        11 A   
   2.25 keV   6.208E+00  1.069E+02      16 A        15 A        11 A   
   2.50 keV   6.544E+00  1.126E+02      17 A        16 A        12 A   
   2.75 keV   6.863E+00  1.180E+02      18 A        16 A        12 A   
   3.00 keV   7.169E+00  1.231E+02      19 A        17 A        13 A   
   3.25 keV   7.461E+00  1.280E+02      20 A        17 A        13 A   
   3.50 keV   7.743E+00  1.326E+02      20 A        18 A        14 A   
   3.75 keV   8.015E+00  1.370E+02      21 A        18 A        14 A   
   4.00 keV   8.278E+00  1.412E+02      22 A        19 A        15 A   
   4.50 keV   8.780E+00  1.491E+02      23 A        20 A        15 A   
   5.00 keV   9.255E+00  1.564E+02      24 A        21 A        16 A   
   5.50 keV   9.706E+00  1.632E+02      25 A        22 A        17 A   
   6.00 keV   1.014E+01  1.696E+02      27 A        23 A        17 A   
   6.50 keV   1.055E+01  1.756E+02      28 A        24 A        18 A   
   7.00 keV   1.095E+01  1.813E+02      29 A        25 A        19 A   
   8.00 keV   1.171E+01  1.919E+02      31 A        26 A        20 A   
   9.00 keV   1.242E+01  2.014E+02      33 A        28 A        21 A   
  10.00 keV   1.309E+01  2.102E+02      35 A        29 A        22 A   
  11.00 keV   1.373E+01  2.183E+02      37 A        31 A        23 A   
  12.00 keV   1.434E+01  2.259E+02      39 A        32 A        24 A   
  13.00 keV   1.492E+01  2.329E+02      41 A        33 A        25 A   
  14.00 keV   1.549E+01  2.396E+02      43 A        35 A        26 A   
  15.00 keV   1.603E+01  2.458E+02      44 A        36 A        27 A   
  16.00 keV   1.656E+01  2.517E+02      46 A        37 A        28 A   
  17.00 keV   1.706E+01  2.572E+02      48 A        38 A        29 A   
  18.00 keV   1.756E+01  2.625E+02      49 A        39 A        30 A   
  20.00 keV   1.851E+01  2.723E+02      53 A        42 A        31 A   
  22.50 keV   1.963E+01  2.834E+02      56 A        44 A        33 A   
  25.00 keV   2.069E+01  2.935E+02      60 A        47 A        35 A   
  27.50 keV   2.170E+01  3.026E+02      64 A        50 A        37 A   
  30.00 keV   2.267E+01  3.109E+02      68 A        52 A        39 A   
  32.50 keV   2.359E+01  3.186E+02      71 A        55 A        40 A   
  35.00 keV   2.449E+01  3.257E+02      75 A        57 A        42 A   
  37.50 keV   2.534E+01  3.322E+02      78 A        59 A        44 A   
  40.00 keV   2.618E+01  3.384E+02      82 A        62 A        45 A   
  45.00 keV   2.776E+01  3.495E+02      88 A        66 A        48 A   
  50.00 keV   2.927E+01  3.594E+02      95 A        70 A        51 A   
  55.00 keV   3.069E+01  3.682E+02     101 A        75 A        54 A   
  60.00 keV   3.206E+01  3.761E+02     107 A        79 A        57 A   
  65.00 keV   3.337E+01  3.833E+02     113 A        83 A        60 A   
  70.00 keV   3.463E+01  3.898E+02     120 A        87 A        63 A   
  80.00 keV   3.702E+01  4.012E+02     132 A        95 A        68 A   
  90.00 keV   3.926E+01  4.109E+02     143 A       102 A        74 A   
 100.00 keV   4.139E+01  4.192E+02     155 A       109 A        79 A   
 110.00 keV   4.341E+01  4.264E+02     166 A       116 A        84 A   
 120.00 keV   4.534E+01  4.327E+02     178 A       123 A        89 A   
 130.00 keV   4.719E+01  4.382E+02     189 A       130 A        94 A   
 140.00 keV   4.897E+01  4.430E+02     200 A       137 A        98 A   
 150.00 keV   5.069E+01  4.473E+02     211 A       143 A       103 A   
 160.00 keV   5.235E+01  4.510E+02     222 A       150 A       108 A   
 170.00 keV   5.396E+01  4.544E+02     233 A       156 A       113 A   
 180.00 keV   5.553E+01  4.574E+02     244 A       163 A       117 A   
 200.00 keV   5.853E+01  4.624E+02     265 A       175 A       126 A   
 225.00 keV   6.208E+01  4.672E+02     292 A       191 A       137 A   
 250.00 keV   6.544E+01  4.708E+02     319 A       206 A       148 A   
 275.00 keV   6.804E+01  4.734E+02     346 A       222 A       159 A   
 300.00 keV   7.007E+01  4.752E+02     372 A       237 A       169 A   
 325.00 keV   7.228E+01  4.764E+02     399 A       252 A       180 A   
 350.00 keV   7.456E+01  4.770E+02     426 A       267 A       190 A   
 375.00 keV   7.684E+01  4.772E+02     453 A       282 A       200 A   
 400.00 keV   7.910E+01  4.771E+02     479 A       297 A       211 A   
 450.00 keV   8.350E+01  4.760E+02     533 A       326 A       231 A   
 500.00 keV   8.770E+01  4.741E+02     588 A       355 A       251 A   
 550.00 keV   9.170E+01  4.715E+02     642 A       384 A       271 A   
 600.00 keV   9.555E+01  4.685E+02     697 A       413 A       291 A   
 650.00 keV   9.927E+01  4.652E+02     752 A       442 A       311 A   
 700.00 keV   1.029E+02  4.617E+02     808 A       470 A       331 A   
 800.00 keV   1.100E+02  4.542E+02     920 A       527 A       370 A   
 900.00 keV   1.169E+02  4.464E+02    1034 A       584 A       410 A   
   1.00 MeV   1.238E+02  4.386E+02    1149 A       640 A       449 A   
   1.10 MeV   1.307E+02  4.307E+02    1266 A       696 A       488 A   
   1.20 MeV   1.376E+02  4.231E+02    1384 A       752 A       528 A   
   1.30 MeV   1.445E+02  4.156E+02    1503 A       807 A       568 A   
   1.40 MeV   1.514E+02  4.083E+02    1622 A       861 A       607 A   
   1.50 MeV   1.583E+02  4.012E+02    1743 A       915 A       647 A   
   1.60 MeV   1.651E+02  3.943E+02    1865 A       969 A       687 A   
   1.70 MeV   1.720E+02  3.877E+02    1987 A      1022 A       726 A   
