 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> May 01, 2023 
 ==================================================================

 Disk File Name = SRIM Outputs\Molybdenum in  U-Mo.txt

 Ion = Molybdenum [42] , Mass = 97.905 amu

 Target Density =  1.7200E+01 g/cm3 = 5.0440E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      U     92    077.00    089.25   
     Mo     42    023.00    010.75   
 ====================================
 Bragg Correction = 0.37%
 Stopping Units =   eV / Angstrom 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
   1.40 keV   3.111E+00  6.800E+01      13 A        14 A        11 A   
   1.50 keV   3.220E+00  7.040E+01      14 A        14 A        11 A   
   1.60 keV   3.326E+00  7.271E+01      14 A        15 A        11 A   
   1.70 keV   3.428E+00  7.492E+01      15 A        15 A        12 A   
   1.80 keV   3.528E+00  7.706E+01      15 A        16 A        12 A   
   2.00 keV   3.718E+00  8.112E+01      16 A        16 A        12 A   
   2.25 keV   3.944E+00  8.584E+01      17 A        17 A        13 A   
   2.50 keV   4.157E+00  9.023E+01      18 A        18 A        14 A   
   2.75 keV   4.360E+00  9.434E+01      19 A        19 A        14 A   
   3.00 keV   4.554E+00  9.820E+01      19 A        19 A        15 A   
   3.25 keV   4.740E+00  1.019E+02      20 A        20 A        16 A   
   3.50 keV   4.919E+00  1.053E+02      21 A        21 A        16 A   
   3.75 keV   5.092E+00  1.086E+02      22 A        22 A        17 A   
   4.00 keV   5.259E+00  1.117E+02      23 A        22 A        17 A   
   4.50 keV   5.578E+00  1.176E+02      24 A        23 A        18 A   
   5.00 keV   5.879E+00  1.230E+02      26 A        25 A        19 A   
   5.50 keV   6.166E+00  1.281E+02      27 A        26 A        20 A   
   6.00 keV   6.440E+00  1.327E+02      28 A        27 A        21 A   
   6.50 keV   6.703E+00  1.371E+02      30 A        28 A        22 A   
   7.00 keV   6.956E+00  1.413E+02      31 A        29 A        22 A   
   8.00 keV   7.437E+00  1.489E+02      33 A        31 A        24 A   
   9.00 keV   7.888E+00  1.557E+02      36 A        33 A        25 A   
  10.00 keV   8.315E+00  1.620E+02      38 A        35 A        27 A   
  11.00 keV   8.720E+00  1.677E+02      40 A        37 A        28 A   
  12.00 keV   9.108E+00  1.730E+02      42 A        38 A        30 A   
  13.00 keV   9.480E+00  1.780E+02      44 A        40 A        31 A   
  14.00 keV   9.838E+00  1.826E+02      46 A        42 A        32 A   
  15.00 keV   1.018E+01  1.869E+02      49 A        43 A        33 A   
  16.00 keV   1.052E+01  1.909E+02      51 A        45 A        34 A   
  17.00 keV   1.084E+01  1.947E+02      52 A        46 A        36 A   
  18.00 keV   1.116E+01  1.983E+02      54 A        48 A        37 A   
  20.00 keV   1.176E+01  2.050E+02      58 A        51 A        39 A   
  22.50 keV   1.247E+01  2.125E+02      63 A        54 A        42 A   
  25.00 keV   1.315E+01  2.191E+02      67 A        58 A        44 A   
  27.50 keV   1.379E+01  2.251E+02      72 A        61 A        47 A   
  30.00 keV   1.440E+01  2.305E+02      76 A        64 A        49 A   
